time,qa(t),qb(t),f(t),f_amplitude
0.0,0.05,0.05,0.46,0.46
0.1,0.05745516857675065,0.09890944953625458,0.45483469585057945,0.46
0.2,0.06972316033774721,0.1463353522366323,0.4394547849977788,0.46
0.30000000000000004,0.08663311847413178,0.19176950695733047,0.4142056670822314,0.46
0.4,0.10797101054091399,0.2347409084109518,0.379654382858452,0.46
0.5,0.13347678267603874,0.2748273766767385,0.33657687968195765,0.46
0.6000000000000001,0.16284435960038626,0.31165555720057214,0.2859405854045056,0.46
0.7000000000000001,0.19572164461777197,0.34490092079497375,0.2288826820301944,0.46
0.8,0.23172327602733572,0.374257365476143,0.16668456705926976,0.46
0.9,0.2704744326837561,0.3994034357619656,0.10074307606279909,0.46
1.0,0.31153200333655184,0.4202519088024317,0.03253911276714334,0.46
1.1,0.3544445775737567,0.4367384375602828,-0.03639560885109768,0.46
1.2000000000000002,0.3987616087880143,0.44879463914493517,-0.10451296355882016,0.46
1.3,0.4440334141765785,0.45634809481247973,-0.17028318242159207,0.46
1.4000000000000001,0.4898111747413132,0.45932234996568216,-0.2322292081159345,0.46
1.5,0.5356469352886921,0.45763691415398283,-0.28895986645246,0.46
1.6,0.5810936044297996,0.4512072610734967,-0.33920110914897306,0.46
1.7000000000000002,0.6257189753060945,0.4400087271292749,-0.38182462620820234,0.46
1.8,0.6690790112916887,0.42444491257331174,-0.41587318532784817,0.46
1.9000000000000001,0.7106932326224601,0.405072126772357,-0.4405821292744216,0.46
2.0,0.7501606117834666,0.3824693964870638,-0.4553965484362049,0.46
2.1,0.7871650776369343,0.35724230271061774,-0.4599837428968173,0.46
2.2,0.8214755154222566,0.33002298066873725,-0.4542406941580779,0.46
2.3000000000000003,0.8529457667559953,0.3014701198196734,-0.4382963787133802,0.46
2.4000000000000004,0.88151462963188,0.27226896385420996,-0.4125088715137075,0.46
2.5,0.9072058584208078,0.24313131069566327,-0.37745730437619796,0.46
2.6,0.93008806075735,0.21489634460679696,-0.33392885993206434,0.46
2.7,0.9502548422963273,0.188725709090638,-0.28290109320176393,0.46
2.8000000000000003,0.9679658263160626,0.16555062997015413,-0.22551997781672176,0.46
2.9000000000000004,0.9835404750708047,0.1460870096346925,-0.16307416992214033,0.46
3.0,0.9973527096510756,0.13084380985155797,-0.09696606773815866,0.46
3.1,1.0098309099836724,0.12012305176601266,-0.028680316719216163,0.46
3.2,1.0214579148316656,0.11401981590127666,0.04024953238214575,0.46
3.3000000000000003,1.0327194867180618,0.11238843475440788,0.10827546375904755,0.46
3.4000000000000004,1.0440045708230767,0.11486415829171347,0.1738697616479713,0.46
3.5,1.0557555835722776,0.12100571812875291,0.23555931953124673,0.46
3.6,1.068313800964224,0.13012672552769802,0.29195872293361197,0.46
3.7,1.081908457534256,0.1412859464806027,0.3418013628445488,0.46
3.8000000000000003,1.096656746354496,0.1532873017094028,0.38396788102601354,0.46
3.9000000000000004,1.1125638190338476,0.16467986666591636,0.41751130838527023,0.46
4.0,1.129518280826906,0.17393351839802612,0.4416783318591684,0.46
4.1000000000000005,1.1472480703419115,0.17996999691857432,0.45592621220149576,0.46
4.2,1.1653492776208099,0.18144674558970358,0.45993497273637096,0.46
4.3,1.183321294616888,0.17722762476960263,0.45361458534455584,0.46
4.4,1.2005673221432882,0.16643737872466155,0.4371069923009235,0.46
4.5,1.2163943698730069,0.14846163562947193,0.4107829185569753,0.46
4.6000000000000005,1.2300527820562388,0.12293769060509166,0.3752335460576641,0.46
4.7,1.2408179237045733,0.08996604324423263,0.33125723706942506,0.46
4.800000000000001,1.2479053413493133,0.05019813013976265,0.2798416046848368,0.46
4.9,1.250662041360605,0.004549184391798855,0.22214133316173104,0.46
5.0,1.2485805053176027,-0.04581557597837549,0.15945224620411189,0.46
5.1000000000000005,1.241298690008467,-0.0994809480283102,0.0931822055553944,0.46
5.2,1.2285946279071214,-0.15478247263377812,0.024819493458818478,0.46
5.300000000000001,1.2103836145136646,-0.20987910665165455,-0.0441006109531894,0.46
5.4,1.1867492002676063,-0.26306942086941215,-0.11203031071846471,0.46
5.5,1.157922622971476,-0.3129271944394603,-0.17744405122802204,0.46
5.6000000000000005,1.1242810618963768,-0.3583037657444883,-0.23887278089367536,0.46
5.7,1.0863476377819876,-0.39832803239746417,-0.29493694287961686,0.46
5.800000000000001,1.0447540486049787,-0.4324088944729841,-0.344377456974804,0.46
5.9,1.0000753116079362,-0.4603121973532257,-0.38608399582008296,0.46
6.0,0.9529200171263279,-0.4820584186353226,-0.4191199204669514,0.46
6.1000000000000005,0.903886163419813,-0.49778109286736405,-0.4427433152690692,0.46
6.2,0.8535544017874525,-0.5077227077080925,-0.4564236497081976,0.46
6.300000000000001,0.8024880365677051,-0.5122347039269038,-0.459853692965885,0.46
6.4,0.7512330026845553,-0.5117768665598447,-0.45295641366529826,0.46
6.5,0.700293072959301,-0.5067540194534993,-0.43588670982987693,0.46
6.6000000000000005,0.6500881561668549,-0.49735610049924045,-0.40902793020766604,0.46
6.7,0.6010219892924351,-0.4837516284384297,-0.3729832650848875,0.46
6.800000000000001,0.5534961815243294,-0.46608922913968115,-0.32856219993251157,0.46
6.9,0.5079102142538987,-0.44449763559886163,-0.27676233610772627,0.46
7.0,0.4646614410755737,-0.4190856879390902,-0.21874698687815655,0.46
7.1000000000000005,0.4241450877868566,-0.38994233341073825,-0.15581905191382542,0.46
7.2,0.38675103611906037,-0.3571336570056268,-0.089391756969454,0.46
7.300000000000001,0.3528285205473482,-0.32063538837158906,-0.020956915880742086,0.46
7.4,0.3227549993089331,-0.2804024470723414,0.04794857235822138,0.46
7.5,0.296905697559288,-0.23646128165728186,0.11577723903300705,0.46
7.6000000000000005,0.27563766148803953,-0.1889084264842776,0.18100579852002982,0.46
7.7,0.25928975831896817,-0.13791050171966684,0.2421693579976409,0.46
7.800000000000001,0.24818267631000726,-0.08370421333825567,0.29789431578078357,0.46
7.9,0.24261892475324415,-0.02659635312332148,0.34692920945352934,0.46
8.0,0.24288283397491925,0.033036201333390025,0.3881728210169464,0.46
8.1,0.24923575139873616,0.0947400786902466,0.4206989078712718,0.46
8.200000000000001,0.2617591531915132,0.1578545172238081,0.44377700422784055,0.46
8.3,0.28063106063773247,0.2220215493927977,0.45688882579590673,0.46
8.4,0.30602926185036045,0.2868726293516304,0.4597399093304622,0.46
8.5,0.33801857547988007,0.3518406014837832,0.4522662256418922,0.46
8.6,0.3765508507142911,0.4161597004017965,0.43463561755353625,0.46
8.700000000000001,0.42146496727911076,0.4788655509472748,0.40724403051372204,0.46
8.8,0.4724868354373706,0.5387951681908825,0.3707066205146069,0.46
8.9,0.5292293959896208,0.5945869574323501,0.32584393901478836,0.46
9.0,0.5911926202739282,0.6446807142004711,0.27366350512255033,0.46
9.1,0.6577635101658754,0.6873176242531012,0.21533717888877124,0.46
9.200000000000001,0.7282295899302611,0.7205808682797369,0.1521748438565616,0.46
9.3,0.8017588941961148,0.7425938693337636,0.08559498990083217,0.46
9.4,0.8768040563039794,0.7503748128052041,0.01709285700377933,0.46
9.5,0.9516140114751412,0.741239504450855,-0.051793144611564326,0.46
9.600000000000001,1.0243752991210013,0.7131801091650497,-0.11951598385832848,0.46
9.700000000000001,1.0932120628430686,0.6648651509796616,-0.18455475176880629,0.46
9.8,1.1561860504329697,0.5956395130641003,-0.24544881783099484,0.46
9.9,1.2112966138724415,0.5055244377253144,-0.30083063260095383,0.46
10.0,1.2564836749621435,0.39523998605314953,-0.3494564399150578,0.46
10.100000000000001,1.289861967364855,0.2683802374065135,-0.3902342089720542,0.46
10.200000000000001,1.3100074280389473,0.13164003095032872,-0.4222481589905749,0.46
10.3,1.3161548071155447,-0.008509038406314895,-0.44477932567118644,0.46
10.4,1.3082757507891667,-0.14584647081655777,-0.4573217075845551,0.46
10.5,1.2870787526597491,-0.27440281192299715,-0.45959362987267766,0.46
10.600000000000001,1.2537926020099806,-0.38847575776216314,-0.45154407005893665,0.46
10.700000000000001,1.2100509189625488,-0.48383639727727534,-0.4333538039029278,0.46
